,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_le,room_type_le
40892,8895249,Manhattan,Harlem,40.82297,-73.93948,Private room,2,12,2.83,129,2,1
27507,128009952,Manhattan,Upper East Side,40.7827,-73.94537,Entire home/apt,5,1,0.05,0,2,0
20520,1636770,Brooklyn,Bedford-Stuyvesant,40.68314,-73.9566,Private room,2,4,0.13,0,1,1
25786,25518844,Brooklyn,Greenpoint,40.72992,-73.96,Private room,2,11,0.51,179,1,1
4199,3130728,Manhattan,Harlem,40.80966,-73.94711,Entire home/apt,2,23,0.39,0,2,0
31943,104051773,Brooklyn,East Flatbush,40.65215,-73.95219,Entire home/apt,3,4,0.3,12,1,0
24218,79912031,Manhattan,Murray Hill,40.74731,-73.98167,Entire home/apt,5,0,,0,2,0
35524,34590955,Manhattan,Washington Heights,40.85295,-73.93595,Entire home/apt,2,0,,67,2,0
6578,24561040,Brooklyn,Park Slope,40.67851,-73.97678,Private room,2,132,2.7,265,1,1
24038,25064774,Brooklyn,Bedford-Stuyvesant,40.68936,-73.94189,Private room,14,1,0.04,0,1,1
17944,15579169,Brooklyn,Flatbush,40.65258,-73.96013,Private room,1,12,0.56,50,1,1
18030,35405142,Queens,Sunnyside,40.7372,-73.919,Private room,5,12,0.34,76,3,1
33900,156958091,Brooklyn,Bushwick,40.69307,-73.90541,Private room,1,37,3.1,0,1,1
47297,63356650,Brooklyn,Crown Heights,40.6771,-73.96007,Private room,20,0,,38,1,1
33058,143400845,Bronx,University Heights,40.86113,-73.91511,Entire home/apt,5,1,0.08,11,0,0
44440,51596474,Brooklyn,Bay Ridge,40.62703,-74.01952,Shared room,5,0,,0,1,2
27055,154696585,Bronx,Kingsbridge,40.87847,-73.90268,Private room,3,1,0.05,0,0,1
47808,269164383,Manhattan,Hell's Kitchen,40.76274,-73.99118,Entire home/apt,31,0,,237,2,0
14393,5440411,Brooklyn,Williamsburg,40.70647,-73.93265,Private room,3,10,0.27,0,1,1
40364,535343,Manhattan,Harlem,40.8014,-73.9578,Private room,2,12,2.35,1,2,1
6791,3449749,Manhattan,Upper East Side,40.76203,-73.96183,Private room,1,0,,0,2,1
39250,16608415,Brooklyn,East New York,40.66745,-73.89217,Private room,1,25,3.61,211,1,1
23882,4969033,Queens,Astoria,40.76634,-73.90872,Entire home/apt,3,30,1.24,0,3,0
1240,263510,Manhattan,Upper West Side,40.78111,-73.97739,Private room,14,88,1.03,176,2,1
39578,54368503,Queens,Ridgewood,40.70351,-73.90212,Private room,3,0,,0,3,1
22540,21940966,Manhattan,Harlem,40.80567,-73.95677,Entire home/apt,2,82,3.17,5,2,0
12566,32173907,Brooklyn,Bushwick,40.70433,-73.92652,Private room,3,6,0.14,0,1,1
33714,73425483,Brooklyn,Bedford-Stuyvesant,40.69074,-73.93858,Private room,1,20,1.9,285,1,1
8941,24260658,Manhattan,East Harlem,40.79487,-73.93477,Private room,2,68,1.39,44,2,1
30404,175583687,Bronx,Highbridge,40.83452,-73.93143,Private room,2,32,2.07,17,0,1
35364,211893857,Brooklyn,East Flatbush,40.65943,-73.91939,Entire home/apt,2,45,5.27,2,1,0
39468,8214691,Manhattan,Two Bridges,40.7114,-73.99354,Private room,3,0,,0,2,1
31860,187908645,Queens,Flushing,40.75582,-73.83215,Private room,1,9,0.69,57,3,1
14551,48870027,Manhattan,East Village,40.72697,-73.98072,Entire home/apt,4,19,0.48,343,2,0
48726,107434423,Brooklyn,Williamsburg,40.71493,-73.96365,Entire home/apt,30,0,,188,1,0
9881,17163531,Brooklyn,Flatbush,40.65353,-73.95611,Private room,1,0,,0,1,1
30784,101438864,Manhattan,Upper West Side,40.79368,-73.96373,Private room,1,89,6.03,94,2,1
13341,50539477,Manhattan,Harlem,40.82203,-73.95612,Private room,30,77,3.26,190,2,1
23775,123483050,Queens,Elmhurst,40.74741,-73.88149,Private room,1,92,3.7,166,3,1
12955,50686888,Brooklyn,East New York,40.6682,-73.88541,Entire home/apt,30,16,0.37,365,1,0
30583,177174475,Manhattan,Midtown,40.74805,-73.9868,Entire home/apt,1,8,0.53,267,2,0
19390,82854298,Queens,Cambria Heights,40.69837,-73.74255,Private room,1,64,1.94,0,3,1
24064,5612625,Manhattan,Upper West Side,40.79503,-73.96715,Private room,1,55,2.23,0,2,1
44464,7817764,Brooklyn,Williamsburg,40.70197,-73.94131,Shared room,3,0,,16,1,2
40783,50612451,Brooklyn,Crown Heights,40.67577,-73.92393,Entire home/apt,3,4,4.0,76,1,0
15008,9028473,Brooklyn,Crown Heights,40.67265,-73.94674,Private room,1,0,,0,1,1
31171,63929490,Manhattan,East Harlem,40.78719,-73.95201,Private room,7,18,1.25,45,2,1
23303,13096043,Brooklyn,Williamsburg,40.71666,-73.96644,Entire home/apt,4,40,1.58,41,1,0
19062,79289737,Manhattan,Chelsea,40.74348,-73.99365,Private room,1,205,6.07,90,2,1
4928,12337318,Manhattan,Harlem,40.82435,-73.94507,Private room,2,28,0.82,80,2,1
46422,264489766,Manhattan,Midtown,40.75392,-73.96862,Entire home/apt,2,0,,136,2,0
31004,154860771,Manhattan,Upper East Side,40.77989,-73.95159,Entire home/apt,1,21,1.44,25,2,0
11526,46851431,Manhattan,Murray Hill,40.74637,-73.97469,Entire home/apt,1,0,,0,2,0
35975,50462097,Manhattan,Hell's Kitchen,40.76435,-73.9875,Entire home/apt,2,35,4.29,200,2,0
3356,1364042,Manhattan,Chinatown,40.71695,-73.99178,Entire home/apt,5,221,3.27,163,2,0
32966,2739367,Brooklyn,Williamsburg,40.70826,-73.94421,Private room,29,70,5.38,64,1,1
9406,15491509,Brooklyn,Williamsburg,40.71544,-73.95433,Private room,2,6,0.13,0,1,1
29442,4719170,Brooklyn,Greenpoint,40.73477,-73.95541,Private room,2,6,0.33,0,1,1
25615,16441670,Manhattan,Upper West Side,40.79738,-73.96332,Private room,1,52,2.41,198,2,1
20354,42734903,Manhattan,Midtown,40.75374,-73.97138,Entire home/apt,3,0,,0,2,0
29334,1355958,Manhattan,East Village,40.72472,-73.98881,Entire home/apt,2,0,,22,2,0
229,204539,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,14,1,0.01,365,3,0
21933,119959551,Manhattan,Chelsea,40.73756,-73.99111,Entire home/apt,4,5,0.18,0,2,0
30954,64194344,Brooklyn,Bushwick,40.70226,-73.92895,Private room,1,0,,0,1,1
853,1220404,Brooklyn,East New York,40.66795,-73.89232,Entire home/apt,1,119,1.39,289,1,0
40202,100698803,Manhattan,East Village,40.73071,-73.98858,Entire home/apt,3,25,3.97,148,2,0
22945,11380126,Brooklyn,Bushwick,40.69083,-73.9241,Private room,1,2,0.08,0,1,1
42174,18318834,Brooklyn,Clinton Hill,40.69465,-73.96427,Private room,2,12,2.98,0,1,1
47978,181075211,Brooklyn,Bedford-Stuyvesant,40.69107,-73.92638,Private room,2,1,1.0,179,1,1
15829,42413378,Brooklyn,South Slope,40.66548,-73.98196,Entire home/apt,3,148,3.84,91,1,0
11041,16437254,Brooklyn,Sunset Park,40.66406,-73.9949,Entire home/apt,30,2,0.46,362,1,0
32377,178147517,Brooklyn,Flatbush,40.63149,-73.95704,Private room,2,7,0.51,155,1,1
19620,37447483,Manhattan,Harlem,40.80102,-73.95401,Private room,3,62,1.94,73,2,1
38830,224368116,Manhattan,Lower East Side,40.72235,-73.98911,Entire home/apt,1,22,4.52,28,2,0
2497,836911,Brooklyn,Windsor Terrace,40.65641,-73.97937,Entire home/apt,1,1,0.02,129,1,0
16647,75061595,Queens,Long Island City,40.76053,-73.92977,Private room,2,27,0.72,0,3,1
24642,15615036,Brooklyn,Bushwick,40.69017,-73.916,Private room,1,7,0.29,0,1,1
31210,74874485,Queens,Ditmars Steinway,40.77305,-73.9082,Entire home/apt,3,2,0.13,0,3,0
29218,85678544,Queens,Long Island City,40.74832,-73.94197,Private room,1,4,0.22,0,3,1
18256,87537411,Manhattan,Washington Heights,40.83406,-73.94731,Entire home/apt,5,13,1.04,1,2,0
3818,11753837,Brooklyn,Park Slope,40.67262,-73.97351,Entire home/apt,10,8,0.12,30,1,0
9409,3415,Queens,Fresh Meadows,40.73859,-73.78891,Private room,3,4,0.09,365,3,1
42737,231138233,Manhattan,East Harlem,40.78909,-73.94956,Entire home/apt,1,21,6.0,87,2,0
14655,61175876,Brooklyn,Bushwick,40.69531,-73.92248,Entire home/apt,5,77,1.96,275,1,0
38283,6701890,Brooklyn,Greenpoint,40.73128,-73.95439,Private room,7,1,0.34,0,1,1
41223,6407054,Manhattan,Harlem,40.82051,-73.95291,Private room,1,4,0.85,0,2,1
3068,9490594,Manhattan,Chelsea,40.74166,-73.99892,Private room,30,83,1.2,282,2,1
13834,183151,Manhattan,Lower East Side,40.71578,-73.98201,Private room,1,0,,0,2,1
48604,234635363,Brooklyn,Bushwick,40.69922,-73.9313,Private room,1,0,,12,1,1
33329,197334240,Manhattan,Harlem,40.8131,-73.94459,Private room,1,73,5.82,193,2,1
25718,15723130,Brooklyn,Williamsburg,40.7138,-73.94001,Entire home/apt,3,8,0.35,9,1,0
31384,2269233,Manhattan,Murray Hill,40.74922,-73.97744,Entire home/apt,30,1,0.09,47,2,0
37940,113805886,Manhattan,Upper East Side,40.77768,-73.95064,Entire home/apt,31,1,0.27,338,2,0
37947,225564897,Manhattan,Harlem,40.82358,-73.95178,Entire home/apt,2,0,,32,2,0
20680,28779108,Brooklyn,Prospect-Lefferts Gardens,40.66024,-73.95518,Entire home/apt,4,26,1.18,145,1,0
11243,3869531,Manhattan,Nolita,40.72143,-73.99427,Private room,3,13,0.29,0,2,1
11601,30283594,Manhattan,Financial District,40.70776,-74.01514,Entire home/apt,30,2,0.05,364,2,0
3512,10545523,Manhattan,Nolita,40.72045,-73.99598,Entire home/apt,3,6,0.1,0,2,0
8306,33297467,Brooklyn,Bushwick,40.70104,-73.92278,Private room,4,4,0.13,0,1,1
398,627217,Manhattan,East Village,40.72939,-73.98857,Entire home/apt,2,403,4.1,201,2,0
11491,3538412,Brooklyn,Williamsburg,40.70573,-73.92887,Entire home/apt,4,85,1.93,63,1,0
15828,1672734,Brooklyn,Bedford-Stuyvesant,40.68285,-73.93862,Entire home/apt,2,33,0.85,1,1,0
38424,27126531,Manhattan,Upper West Side,40.77642,-73.97987,Entire home/apt,3,3,0.42,0,2,0
31118,37995238,Brooklyn,Williamsburg,40.71426,-73.9369,Entire home/apt,7,18,1.31,0,1,0
23106,6646682,Brooklyn,Williamsburg,40.71232,-73.96067,Entire home/apt,4,6,0.24,1,1,0
17090,4454121,Manhattan,Upper East Side,40.76172,-73.96538,Entire home/apt,3,24,0.65,3,2,0
45178,257474717,Queens,Flushing,40.75498,-73.83423,Entire home/apt,2,0,,361,3,0
3755,11540028,Manhattan,Chelsea,40.74999,-73.99687,Entire home/apt,3,0,,0,2,0
45802,184407284,Manhattan,Upper East Side,40.77031,-73.95007,Entire home/apt,1,1,1.0,110,2,0
1619,2333904,Manhattan,East Village,40.7232,-73.97927,Private room,26,57,0.7,98,2,1
13317,50760546,Manhattan,Murray Hill,40.74677,-73.97846,Entire home/apt,30,4,0.11,111,2,0
2085,4085497,Brooklyn,Crown Heights,40.67296,-73.9501,Entire home/apt,2,42,0.72,365,1,0
27091,19809273,Manhattan,Midtown,40.75092,-73.98409,Entire home/apt,2,0,,178,2,0
15486,20471565,Manhattan,East Village,40.72522,-73.98114,Private room,3,0,,0,2,1
24556,106125,Queens,Rockaway Beach,40.59106,-73.8113,Entire home/apt,4,20,0.85,329,3,0
7394,26602392,Queens,Springfield Gardens,40.6631,-73.76749,Private room,1,148,3.82,347,3,1
23924,10369934,Brooklyn,Williamsburg,40.71112,-73.95797,Private room,14,0,,0,1,1
153,137432,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,15,4,0.05,269,1,0
46480,265420923,Queens,East Elmhurst,40.76774,-73.87358,Private room,2,2,1.87,266,3,1
23043,90824676,Manhattan,East Village,40.72288,-73.98342,Private room,1,3,0.12,0,2,1
38884,17618432,Manhattan,West Village,40.73563,-74.00659,Entire home/apt,1,3,0.42,0,2,0
31882,188050267,Manhattan,Washington Heights,40.83827,-73.93976,Private room,2,0,,0,2,1
20751,24092157,Brooklyn,Bedford-Stuyvesant,40.68004,-73.9215,Entire home/apt,2,8,0.26,38,1,0
3228,9265204,Brooklyn,Williamsburg,40.70576,-73.94827,Private room,1,1,0.02,44,1,1
40271,46412380,Manhattan,Chinatown,40.71685,-73.99074,Private room,1,43,7.13,15,2,1
24345,136224596,Brooklyn,Bedford-Stuyvesant,40.68655,-73.93673,Entire home/apt,3,0,,0,1,0
28803,162427870,Manhattan,Midtown,40.74535,-73.99023,Private room,1,140,7.39,321,2,1
3110,9638204,Manhattan,Harlem,40.82097,-73.93765,Private room,1,1,0.03,0,2,1
45986,263843788,Queens,Sunnyside,40.74143,-73.9229,Entire home/apt,2,7,5.68,14,3,0
7410,2263462,Manhattan,Murray Hill,40.74467,-73.97202,Private room,1,1,0.02,0,2,1
12077,6487616,Manhattan,Nolita,40.72291,-73.9945,Entire home/apt,3,6,0.14,0,2,0
1107,2120259,Brooklyn,Crown Heights,40.66604,-73.95086,Private room,4,101,1.19,170,1,1
21441,33675739,Manhattan,East Harlem,40.79315,-73.93984,Private room,2,60,2.52,233,2,1
22251,1432946,Brooklyn,Bushwick,40.6974,-73.92487,Private room,3,172,6.37,169,1,1
38908,105367031,Brooklyn,Bushwick,40.68325,-73.90637,Entire home/apt,2,2,0.3,347,1,0
42237,246653349,Bronx,Baychester,40.8694,-73.84171,Entire home/apt,2,11,3.4,46,0,0
31096,117510818,Manhattan,Hell's Kitchen,40.76657,-73.98514,Entire home/apt,3,28,1.87,323,2,0
35654,79499558,Queens,Jackson Heights,40.75176,-73.88374,Private room,4,23,2.28,112,3,1
19951,74895323,Manhattan,Harlem,40.82434,-73.94979,Private room,7,3,0.1,53,2,1
15338,66240027,Brooklyn,Prospect-Lefferts Gardens,40.66158,-73.95999,Entire home/apt,1,2,0.05,0,1,0
3178,9848620,Brooklyn,Greenpoint,40.72587,-73.94122,Entire home/apt,5,2,0.06,26,1,0
15779,69427329,Queens,Elmhurst,40.73854,-73.87407,Private room,2,115,2.99,280,3,1
26581,11571496,Brooklyn,Bushwick,40.68824,-73.91628,Entire home/apt,2,92,4.33,4,1,0
23742,3801752,Manhattan,Chinatown,40.71522,-73.99355,Private room,1,124,4.95,125,2,1
41437,219517861,Manhattan,Financial District,40.70731,-74.01021,Entire home/apt,2,15,3.75,261,2,0
42698,3988394,Brooklyn,South Slope,40.66829,-73.98871,Private room,1,16,5.11,80,1,1
37020,1343352,Manhattan,Upper West Side,40.7764,-73.98144,Entire home/apt,2,1,0.13,0,2,0
37185,11598586,Queens,Long Island City,40.74705,-73.94594,Private room,1,0,,0,3,1
21249,5302735,Manhattan,Harlem,40.80495,-73.9556,Entire home/apt,4,29,0.99,0,2,0
38458,18576070,Brooklyn,Bushwick,40.69576,-73.93254,Private room,30,2,0.27,143,1,1
36698,137358866,Brooklyn,Bushwick,40.69248,-73.91189,Private room,30,0,,157,1,1
4065,2132620,Brooklyn,Crown Heights,40.67656,-73.95825,Private room,1,4,0.11,0,1,1
46857,107987935,Manhattan,Financial District,40.70701,-74.01007,Entire home/apt,30,0,,311,2,0
34374,427019,Brooklyn,Williamsburg,40.70713,-73.92918,Private room,2,18,1.61,5,1,1
31902,30558890,Manhattan,Chelsea,40.75164,-73.99727,Entire home/apt,30,2,0.21,0,2,0
23565,133130315,Manhattan,Hell's Kitchen,40.76398,-73.986,Private room,3,12,0.57,179,2,1
15391,9123131,Brooklyn,Crown Heights,40.67068,-73.94084,Private room,3,32,0.83,0,1,1
18245,5613109,Queens,Astoria,40.7581,-73.91975,Entire home/apt,2,13,0.37,115,3,0
21259,3855091,Brooklyn,Bushwick,40.70657,-73.92181,Private room,5,1,0.04,0,1,1
13175,37441611,Manhattan,Upper West Side,40.78469,-73.9738,Entire home/apt,2,119,2.78,258,2,0
2653,7557833,Brooklyn,Bedford-Stuyvesant,40.6918,-73.94673,Private room,2,44,0.64,47,1,1
23005,83141510,Brooklyn,Bushwick,40.70382,-73.91746,Entire home/apt,1,0,,0,1,0
26412,15569216,Manhattan,Upper West Side,40.78628,-73.97482,Private room,2,3,0.2,94,2,1
7679,24126726,Manhattan,Midtown,40.75245,-73.97342,Private room,1,6,0.12,0,2,1
5333,1475015,Manhattan,Upper East Side,40.76236,-73.96642,Entire home/apt,30,2,0.04,365,2,0
8407,1531125,Brooklyn,Williamsburg,40.71741,-73.95555,Entire home/apt,3,14,0.33,0,1,0
43386,257569145,Manhattan,Lower East Side,40.72018,-73.98813,Private room,1,0,,362,2,1
8975,1694147,Manhattan,Hell's Kitchen,40.76734,-73.98676,Entire home/apt,3,13,0.27,4,2,0
10150,11048791,Brooklyn,Bushwick,40.70068,-73.91621,Private room,7,2,0.04,0,1,1
33099,171171143,Queens,East Elmhurst,40.7642,-73.86932,Entire home/apt,4,15,1.34,203,3,0
46738,21216008,Queens,Jackson Heights,40.75009,-73.87799,Shared room,1,3,3.0,350,3,2
36491,20990306,Brooklyn,Williamsburg,40.71345,-73.95,Entire home/apt,2,17,1.83,0,1,0
12835,50463621,Manhattan,Kips Bay,40.7412,-73.98171,Entire home/apt,4,0,,0,2,0
8302,2881,Brooklyn,Bedford-Stuyvesant,40.68473,-73.946,Private room,2,110,2.63,220,1,1
21578,59794802,Manhattan,Hell's Kitchen,40.76642,-73.99423,Private room,6,0,,51,2,1
9308,37252712,Brooklyn,Park Slope,40.66817,-73.98406,Entire home/apt,3,5,0.17,0,1,0
4637,16433878,Brooklyn,Fort Greene,40.68833,-73.97606,Entire home/apt,7,5,0.14,0,1,0
45774,258232863,Staten Island,New Springville,40.58647,-74.15954,Entire home/apt,2,8,5.33,4,4,0
41916,81534306,Manhattan,Washington Heights,40.8524,-73.94214,Private room,1,0,,0,2,1
21362,580624,Manhattan,Nolita,40.72078,-73.99473,Private room,10,2,0.09,35,2,1
26417,76450538,Brooklyn,Sunset Park,40.65331,-74.00814,Private room,4,0,,0,1,1
36665,21030441,Queens,Astoria,40.76836,-73.91506,Private room,2,20,3.24,282,3,1
16548,50485365,Brooklyn,Crown Heights,40.66741,-73.9522,Private room,12,2,0.09,0,1,1
30919,10661558,Manhattan,Upper East Side,40.77519,-73.95153,Private room,1,67,4.29,0,2,1
3034,9358396,Manhattan,Tribeca,40.71481,-74.00934,Entire home/apt,4,22,0.33,12,2,0
31587,160614820,Queens,Ditmars Steinway,40.77496,-73.91172,Private room,15,12,0.85,21,3,1
16462,1362083,Manhattan,Hell's Kitchen,40.76376,-73.98789,Private room,4,33,0.88,180,2,1
9952,40010465,Brooklyn,East Flatbush,40.65429,-73.94917,Private room,1,1,0.02,0,1,1
18558,2964414,Queens,Sunnyside,40.74615,-73.91704,Private room,2,1,0.03,88,3,1
10241,30320622,Brooklyn,Borough Park,40.64362,-74.00046,Private room,1,0,,0,1,1
27378,157067019,Queens,Flushing,40.76498,-73.82904,Private room,1,34,1.73,78,3,1
36599,157397904,Brooklyn,Williamsburg,40.71705,-73.96545,Entire home/apt,30,2,0.68,77,1,0
38175,226335012,Brooklyn,Bedford-Stuyvesant,40.6891,-73.95596,Private room,2,23,3.59,323,1,1
37880,225309985,Bronx,Fordham,40.8689,-73.88552,Entire home/apt,2,30,4.46,327,0,0
40848,50497157,Brooklyn,Williamsburg,40.71248,-73.94859,Private room,3,1,0.22,0,1,1
25360,7714461,Brooklyn,Williamsburg,40.71389,-73.95103,Private room,7,19,0.85,151,1,1
12575,30312537,Manhattan,Hell's Kitchen,40.7608,-73.9947,Private room,3,0,,0,2,1
31076,4924711,Bronx,Concourse,40.81952,-73.92844,Entire home/apt,2,37,2.89,193,0,0
45808,48950686,Manhattan,Upper East Side,40.77821,-73.95504,Entire home/apt,2,3,3.0,164,2,0
23076,63026371,Manhattan,Upper West Side,40.8012,-73.96693,Shared room,2,0,,0,2,2
48483,220991097,Brooklyn,East New York,40.67303,-73.88621,Private room,1,0,,166,1,1
28343,111188158,Manhattan,Midtown,40.75348,-73.97189,Entire home/apt,5,1,0.16,0,2,0
19023,25262268,Brooklyn,Bedford-Stuyvesant,40.68408,-73.95411,Entire home/apt,3,62,1.88,275,1,0
37167,22336312,Manhattan,Washington Heights,40.83469,-73.94604,Entire home/apt,2,13,1.63,0,2,0
45900,221200420,Manhattan,Murray Hill,40.7443,-73.97277,Entire home/apt,30,0,,358,2,0
39529,60370951,Queens,Astoria,40.77677,-73.93521,Private room,3,0,,343,3,1
31796,3494371,Brooklyn,Williamsburg,40.7135,-73.95468,Entire home/apt,10,5,0.47,150,1,0
48364,272342845,Brooklyn,Bushwick,40.70157,-73.92542,Entire home/apt,2,0,,359,1,0
33260,22090713,Manhattan,Washington Heights,40.85068,-73.9372,Entire home/apt,2,4,0.98,0,2,0
15882,10737943,Manhattan,Upper West Side,40.78528,-73.97623,Private room,30,3,0.09,365,2,1
19395,36861300,Brooklyn,Bushwick,40.6998,-73.92167,Entire home/apt,2,72,2.2,146,1,0
33098,195831980,Brooklyn,Bedford-Stuyvesant,40.6851,-73.94791,Entire home/apt,1,27,2.13,137,1,0
34521,9738823,Manhattan,Hell's Kitchen,40.76335,-73.98737,Private room,2,41,4.17,67,2,1
24210,3538684,Brooklyn,Bedford-Stuyvesant,40.6881,-73.94682,Entire home/apt,28,37,1.56,70,1,0
38741,12704088,Brooklyn,Williamsburg,40.7189,-73.96416,Private room,2,7,1.35,0,1,1
41610,242924411,Brooklyn,Bedford-Stuyvesant,40.68396,-73.95267,Entire home/apt,1,14,3.09,85,1,0
44095,43885531,Manhattan,East Village,40.72935,-73.9826,Entire home/apt,30,1,1.0,115,2,0
16716,61265293,Brooklyn,Crown Heights,40.67383,-73.961,Private room,3,27,0.8,48,1,1
2997,4051126,Manhattan,Chelsea,40.74188,-73.99729,Entire home/apt,3,111,1.63,191,2,0
45362,253304582,Queens,Corona,40.73844,-73.86302,Entire home/apt,4,1,1.0,50,3,0
10808,5008870,Brooklyn,Bedford-Stuyvesant,40.68211,-73.9236,Entire home/apt,2,129,3.32,242,1,0
4634,1588656,Brooklyn,Park Slope,40.67794,-73.97398,Entire home/apt,1,154,3.05,122,1,0
14832,2856748,Manhattan,Midtown,40.75754,-73.96129,Entire home/apt,30,0,,334,2,0
29706,21892425,Brooklyn,Crown Heights,40.66884,-73.95957,Private room,1,120,6.77,8,1,1
20088,104838182,Manhattan,Upper West Side,40.8013,-73.96669,Private room,7,14,0.51,0,2,1
10778,19194060,Manhattan,East Village,40.7241,-73.97992,Entire home/apt,3,0,,0,2,0
25607,1097753,Manhattan,Harlem,40.81065,-73.9457,Private room,3,34,1.52,178,2,1
34454,18884557,Manhattan,West Village,40.73494,-74.00463,Entire home/apt,30,1,1.0,86,2,0
26542,17766289,Bronx,Kingsbridge,40.86924,-73.90651,Private room,30,4,0.19,148,0,1
20926,109142193,Manhattan,Greenwich Village,40.73083,-73.9943,Private room,4,0,,0,2,1
44269,157207818,Brooklyn,Bushwick,40.70044,-73.9243,Private room,1,7,3.28,22,1,1
6816,12708335,Brooklyn,Crown Heights,40.66948,-73.95157,Entire home/apt,15,0,,0,1,0
39591,3312111,Brooklyn,South Slope,40.66146,-73.98371,Entire home/apt,2,3,0.47,34,1,0
33652,190921808,Manhattan,Chelsea,40.75369,-73.99719,Private room,7,11,0.99,358,2,1
37955,16098958,Manhattan,Hell's Kitchen,40.76735,-73.98524,Entire home/apt,30,0,,325,2,0
30402,174951212,Manhattan,Midtown,40.764,-73.98033,Entire home/apt,2,0,,0,2,0
28306,49735439,Queens,Ridgewood,40.69587,-73.9045,Private room,3,1,0.07,125,3,1
13638,20086355,Brooklyn,Bedford-Stuyvesant,40.68851,-73.95151,Private room,5,0,,0,1,1
2530,7092157,Brooklyn,Kensington,40.64342,-73.97851,Entire home/apt,3,4,0.06,321,1,0
30532,32130349,Brooklyn,Williamsburg,40.71876,-73.94341,Private room,1,0,,0,1,1
30940,88394152,Manhattan,Upper East Side,40.77574,-73.94638,Entire home/apt,3,20,1.33,157,2,0
40689,27446767,Brooklyn,Williamsburg,40.71272,-73.95599,Private room,4,0,,0,1,1
12969,12871485,Brooklyn,Bedford-Stuyvesant,40.68004,-73.94628,Entire home/apt,2,9,0.21,0,1,0
16210,22541573,Manhattan,Financial District,40.7052,-74.00974,Entire home/apt,30,0,,344,2,0
47914,30873670,Bronx,Longwood,40.82101,-73.90919,Entire home/apt,3,0,,0,0,0
37737,96647029,Manhattan,Upper West Side,40.79481,-73.96437,Private room,6,3,0.37,6,2,1
45301,34331,Manhattan,Upper West Side,40.79056,-73.97306,Entire home/apt,30,0,,36,2,0
5921,2657430,Manhattan,Chelsea,40.74751,-74.00086,Private room,6,20,0.36,0,2,1
34273,204773816,Queens,Flushing,40.75785,-73.81948,Entire home/apt,3,21,2.09,152,3,0
28712,162258673,Manhattan,Washington Heights,40.85394,-73.92972,Private room,1,14,0.8,63,2,1
46441,24027781,Queens,Long Island City,40.74854,-73.94908,Private room,20,0,,66,3,1
36681,92706260,Queens,Flushing,40.76126,-73.81443,Private room,1,58,6.42,75,3,1
33820,37678920,Queens,Jamaica,40.67784,-73.77299,Entire home/apt,1,7,0.6,0,3,0
20075,24630962,Brooklyn,Williamsburg,40.70627,-73.94947,Private room,10,17,0.61,0,1,1
5265,19569725,Brooklyn,Bedford-Stuyvesant,40.68419,-73.92217,Entire home/apt,2,252,4.37,35,1,0
38224,126653377,Manhattan,Harlem,40.80521,-73.95592,Private room,30,1,0.37,1,2,1
39447,52140932,Brooklyn,Bedford-Stuyvesant,40.68373,-73.95161,Private room,2,13,2.22,294,1,1
32443,191901037,Brooklyn,Sheepshead Bay,40.58484,-73.94022,Private room,10,1,0.08,331,1,1
26559,7835116,Brooklyn,Clinton Hill,40.68729,-73.96785,Private room,14,0,,0,1,1
32621,31829334,Brooklyn,Clinton Hill,40.68339,-73.9645,Entire home/apt,30,3,0.25,40,1,0
11317,12330542,Manhattan,Midtown,40.75417,-73.97279,Private room,1,0,,0,2,1
4298,14636480,Queens,Astoria,40.77182,-73.93129,Entire home/apt,4,56,1.55,0,3,0
32625,4384604,Manhattan,East Harlem,40.80983,-73.9384,Private room,2,6,0.46,77,2,1
3972,10431172,Brooklyn,Williamsburg,40.71492,-73.94124,Private room,4,66,1.04,323,1,1
37868,22175061,Queens,Forest Hills,40.72104,-73.85391,Private room,2,13,1.73,24,3,1
18654,6049738,Manhattan,East Village,40.73029,-73.98725,Private room,4,9,0.26,0,2,1
19239,97631810,Queens,East Elmhurst,40.75849,-73.87068,Private room,1,218,6.91,153,3,1
18508,387756,Manhattan,Chelsea,40.74725,-73.99515,Entire home/apt,2,3,0.13,358,2,0
1205,2530670,Brooklyn,Boerum Hill,40.68586,-73.9809,Entire home/apt,2,134,1.56,56,1,0
14758,60500199,Manhattan,Harlem,40.80797,-73.94243,Entire home/apt,3,71,1.76,331,2,0
42454,217484432,Queens,Ditmars Steinway,40.77726,-73.90689,Private room,1,7,2.26,304,3,1
36401,91757655,Manhattan,Midtown,40.7656,-73.98,Private room,3,0,,339,2,1
23317,131530387,Queens,Astoria,40.75704,-73.92135,Private room,1,129,5.11,95,3,1
23595,97513787,Manhattan,Chinatown,40.71595,-73.99329,Private room,20,6,0.31,332,2,1
8466,34009194,Manhattan,Washington Heights,40.83771,-73.94638,Entire home/apt,2,1,0.02,0,2,0
45469,73612539,Brooklyn,Bedford-Stuyvesant,40.68602,-73.94844,Private room,1,8,6.32,36,1,1
21625,5334697,Manhattan,Washington Heights,40.84099,-73.93694,Private room,5,41,1.45,228,2,1
