,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_le,room_type_le
11956,1838431,Brooklyn,Greenpoint,40.73419,-73.95264,Private room,15,1,0.03,0,1,1
29425,165898555,Manhattan,Midtown,40.7504,-73.96934,Entire home/apt,30,1,0.08,364,2,0
32298,104653500,Queens,Woodside,40.7547,-73.90852,Private room,2,0,,0,3,1
5217,3086826,Bronx,Mount Hope,40.84611,-73.91036,Private room,3,59,1.0,343,0,1
6886,23069182,Brooklyn,Fort Greene,40.68346,-73.97214,Private room,1,55,4.16,342,1,1
9424,1639755,Brooklyn,Fort Hamilton,40.61985,-74.03255,Private room,2,56,1.23,306,1,1
17859,83593559,Brooklyn,Greenpoint,40.72704,-73.94587,Entire home/apt,14,0,,0,1,0
24271,4629066,Brooklyn,Flatbush,40.65264,-73.96202,Entire home/apt,1,0,,0,1,0
35295,12358203,Manhattan,Harlem,40.82867,-73.94561,Private room,1,28,2.78,5,2,1
20281,6134680,Brooklyn,Crown Heights,40.67476,-73.94209,Private room,1,35,1.14,5,1,1
27033,145242566,Manhattan,Harlem,40.81807,-73.95487,Private room,3,86,4.32,0,2,1
15712,66556483,Brooklyn,Williamsburg,40.71332,-73.94071,Private room,1,0,,0,1,1
23709,95471685,Manhattan,Chelsea,40.74814,-73.98956,Entire home/apt,7,0,,0,2,0
1915,3159197,Brooklyn,Prospect-Lefferts Gardens,40.66251,-73.95374,Entire home/apt,2,11,0.18,35,1,0
3544,10777592,Manhattan,Upper East Side,40.7686,-73.95307,Shared room,2,16,0.25,0,2,2
40745,154302755,Brooklyn,Bedford-Stuyvesant,40.68803,-73.92601,Private room,2,6,1.15,125,1,1
23141,10805053,Brooklyn,Boerum Hill,40.68602,-73.98311,Entire home/apt,2,4,0.37,311,1,0
43237,252641467,Bronx,Wakefield,40.88491,-73.85484,Private room,1,0,,116,0,1
45568,61396454,Manhattan,Midtown,40.75669,-73.96199,Entire home/apt,30,0,,329,2,0
710,1372786,Manhattan,Chelsea,40.74025,-74.00161,Private room,5,20,0.33,0,2,1
4103,13499885,Manhattan,East Village,40.72839,-73.98613,Private room,3,5,0.09,0,2,1
34909,208911587,Queens,Springfield Gardens,40.66448,-73.76479,Entire home/apt,3,33,3.07,44,3,0
10406,780477,Brooklyn,East New York,40.66125,-73.89976,Entire home/apt,3,77,1.67,256,1,0
35187,23370431,Queens,Queens Village,40.71711,-73.75608,Private room,2,7,0.76,155,3,1
11729,8503277,Manhattan,East Village,40.7281,-73.97952,Entire home/apt,5,3,0.07,0,2,0
14029,55257448,Brooklyn,Flatbush,40.64205,-73.96622,Private room,5,0,,0,1,1
